iter	Passed	Remaining
0	24	11989
1	52	13010
2	78	13014
3	103	12813
4	129	12807
5	152	12567
6	178	12585
7	204	12548
8	228	12486
9	253	12444
10	280	12465
11	305	12421
12	332	12470
13	360	12525
14	386	12493
15	412	12479
16	436	12401
17	460	12320
18	483	12251
19	509	12223
20	532	12147
21	555	12066
22	580	12046
23	604	11988
24	628	11946
25	652	11893
26	677	11876
27	701	11816
28	725	11788
29	749	11748
30	773	11708
31	796	11652
32	821	11630
33	845	11586
34	870	11562
35	895	11539
36	920	11517
37	946	11508
38	969	11464
39	997	11467
40	1022	11446
41	1047	11427
42	1073	11407
43	1098	11388
44	1123	11357
45	1146	11319
46	1169	11273
47	1193	11235
48	1217	11201
49	1240	11162
50	1263	11120
51	1287	11089
52	1312	11073
53	1338	11058
54	1362	11027
55	1387	11001
56	1410	10964
57	1434	10932
58	1460	10916
59	1485	10895
60	1510	10872
61	1535	10848
62	1560	10826
63	1585	10801
64	1611	10783
65	1633	10739
66	1657	10712
67	1683	10694
68	1705	10655
69	1728	10619
70	1754	10601
71	1756	10441
72	1781	10418
73	1805	10392
74	1829	10368
75	1853	10342
76	1876	10307
77	1900	10281
78	1922	10242
79	1946	10219
80	1969	10187
81	1993	10163
82	2015	10127
83	2040	10103
84	2063	10074
85	2086	10044
86	2108	10011
87	2132	9984
88	2157	9962
89	2180	9935
90	2203	9903
91	2228	9884
92	2250	9850
93	2273	9820
94	2298	9797
95	2323	9779
96	2345	9746
97	2369	9717
98	2393	9693
99	2419	9678
100	2442	9648
101	2465	9620
102	2491	9604
103	2516	9582
104	2541	9560
105	2564	9532
106	2587	9504
107	2609	9472
108	2633	9447
109	2656	9417
110	2681	9397
111	2705	9371
112	2730	9349
113	2753	9324
114	2777	9299
115	2801	9273
116	2825	9248
117	2849	9226
118	2873	9199
119	2897	9175
120	2920	9147
121	2944	9124
122	2969	9100
123	2992	9073
124	3015	9045
125	3038	9017
126	3062	8995
127	3087	8971
128	3109	8944
129	3132	8915
130	3156	8890
131	3179	8863
132	3202	8836
133	3227	8814
134	3249	8784
135	3274	8762
136	3298	8739
137	3322	8716
138	3347	8692
139	3371	8668
140	3395	8644
141	3419	8621
142	3447	8605
143	3473	8587
144	3500	8569
145	3528	8556
146	3556	8540
147	3591	8542
148	3637	8569
149	3667	8557
150	3694	8538
151	3718	8512
152	3743	8489
153	3770	8471
154	3794	8445
155	3820	8424
156	3846	8403
157	3870	8378
158	3896	8356
159	3922	8335
160	3948	8314
161	3975	8294
162	4002	8274
163	4029	8255
164	4056	8236
165	4084	8217
166	4109	8194
167	4136	8174
168	4165	8158
169	4191	8136
170	4214	8108
171	4236	8079
172	4261	8054
173	4285	8029
174	4307	8000
175	4330	7972
176	4355	7948
177	4377	7918
178	4401	7893
179	4424	7865
180	4449	7841
181	4475	7820
182	4502	7799
183	4528	7777
184	4555	7757
185	4583	7738
186	4612	7721
187	4642	7703
188	4670	7685
189	4698	7665
190	4725	7644
191	4751	7622
192	4776	7597
193	4802	7574
194	4827	7551
195	4852	7526
196	4877	7502
197	4904	7479
198	4928	7454
199	4954	7431
200	4980	7409
201	5005	7384
202	5007	7326
203	5033	7303
204	5059	7281
205	5084	7255
206	5110	7233
207	5135	7208
208	5162	7187
209	5187	7163
210	5215	7143
211	5244	7124
